epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,426.326,0.79873,1.46362,1.03582,0.00333,1,0.05385,0.03795,0.70908,3.28349,1.02169,0.0012894,0.0004298,0.0012894,0.0004298,0.0012894,0.0004298,0.0012894,0.0004298
72,435.227,0.8031,1.96795,0.9539,0.00333,1,0.49926,0.34973,0.76644,3.21634,1.04578,0.00126565,0.000421882,0.00126565,0.000421882,0.00126565,0.000421882,0.00126565,0.000421882
73,437.446,0.84452,1.64616,1.02562,0.00333,1,0.49926,0.34973,0.76644,3.21634,1.04578,0.0012407,0.000413568,0.0012407,0.000413568,0.0012407,0.000413568,0.0012407,0.000413568
74,439.705,0.81668,2.11034,0.98478,0.00333,1,0.49926,0.34973,0.76644,3.21634,1.04578,0.00121457,0.000404858,0.00121457,0.000404858,0.00121457,0.000404858,0.00121457,0.000404858
75,448.554,0.75435,1.53308,0.99692,0.00333,1,0.49922,0.3497,0.7769,3.1969,1.04223,0.00118726,0.000395752,0.00118726,0.000395752,0.00118726,0.000395752,0.00118726,0.000395752
76,450.747,0.68413,1.49548,0.9405,0.00333,1,0.49922,0.3497,0.7769,3.1969,1.04223,0.00115875,0.00038625,0.00115875,0.00038625,0.00115875,0.00038625,0.00115875,0.00038625
77,452.976,0.82064,1.63593,0.96239,0.00333,1,0.49922,0.3497,0.7769,3.1969,1.04223,0.00112906,0.000376352,0.00112906,0.000376352,0.00112906,0.000376352,0.00112906,0.000376352
78,461.923,0.78435,1.6839,0.98062,0.00333,1,0.49918,0.34968,0.78736,3.15284,1.04334,0.00109817,0.000366058,0.00109817,0.000366058,0.00109817,0.000366058,0.00109817,0.000366058
79,464.18,0.69537,1.4174,0.95754,0.00333,1,0.49918,0.34968,0.78736,3.15284,1.04334,0.0010661,0.000355368,0.0010661,0.000355368,0.0010661,0.000355368,0.0010661,0.000355368
80,466.352,0.72134,1.56417,0.96164,0.00333,1,0.49918,0.34968,0.78736,3.15284,1.04334,0.00103285,0.000344282,0.00103285,0.000344282,0.00103285,0.000344282,0.00103285,0.000344282
81,475.245,0.76138,1.52093,0.91664,0.00333,1,0.4992,0.34969,0.80181,3.09484,1.04762,0.0009984,0.0003328,0.0009984,0.0003328,0.0009984,0.0003328,0.0009984,0.0003328
82,477.472,0.71065,1.52643,0.89658,0.00333,1,0.4992,0.34969,0.80181,3.09484,1.04762,0.000962766,0.000320922,0.000962766,0.000320922,0.000962766,0.000320922,0.000962766,0.000320922
83,479.679,0.71229,1.64784,0.89935,0.00333,1,0.4992,0.34969,0.80181,3.09484,1.04762,0.000925944,0.000308648,0.000925944,0.000308648,0.000925944,0.000308648,0.000925944,0.000308648
84,488.391,0.67225,1.30476,0.93394,0.00333,1,0.49965,0.35003,0.8029,3.04859,1.04997,0.000887934,0.000295978,0.000887934,0.000295978,0.000887934,0.000295978,0.000887934,0.000295978
85,490.613,0.81566,1.46321,0.95804,0.00333,1,0.49965,0.35003,0.8029,3.04859,1.04997,0.000848736,0.000282912,0.000848736,0.000282912,0.000848736,0.000282912,0.000848736,0.000282912
